batch_id,produkt,nr_partii,wielkosc_kg,nr_amidatora,nr_mieszalnika,template_id,acid_total_kg,acid_kg_per_ton,kwasy_c1218_kg_per_ton,dmapa_czysta_kg_per_ton,dmapa_zwrotna_kg_per_ton,mca_80_kg_per_ton,naoh_50_kg_per_ton,na2so3_kg_per_ton,dmapa_total_kg_per_ton,max_delta_surowce_pct,last_ph_10proc,prev_ph_10proc,delta_ph_czwart,ph_smca,lk_amid_last,n_analiz_czwart,naoh_czwart_kg_per_ton,czas_amidowania_h,czas_czwart_h,czas_total_h,n_korekt_dmapa
Chegina_K40GL__1_2026,Chegina K40GL,1/2026,11310.0,8,25,T111,125.0,11.052166224580017,198.05481874447392,79.57559681697613,53.05039787798408,119.98231653404066,61.715296198054816,4.155614500442087,132.6259946949602,5.757575757575758,11.73,11.92,5.73,3.31,8.38,3.0,35.632183908045974,16.083333333333332,3.4166666666666665,26.166666666666668,1.0
Chegina_K40GL__2_2026,Chegina K40GL,2/2026,6690.0,4,16,T111,68.0,10.164424514200299,198.80418535127055,80.71748878923766,47.08520179372197,120.62780269058295,61.883408071748875,4.185351270553064,127.80269058295963,0.0,11.52,11.03,5.26,3.3,10.9,3.0,39.61136023916293,8.166666666666666,4.333333333333333,186.25,0.0
Chegina_K40GL__4_2026,Chegina K40GL,4/2026,11420.0,18,25,T111,125.0,10.945709281961472,196.14711033274958,78.80910683012259,52.53940455341506,118.82661996497373,61.120840630472856,4.115586690017513,131.34851138353764,5.603112840466927,11.68,10.73,4.63,3.3,9.26,4.0,37.91593695271454,10.083333333333334,3.3333333333333335,329.8333333333333,0.0
Chegina_K40GL__5_2026,Chegina K40GL,5/2026,6900.0,4,16,T111,75.0,10.869565217391305,192.75362318840578,78.26086956521739,45.65217391304348,116.81159420289855,60.0,14.202898550724637,123.91304347826086,23.4375,11.79,11.25,5.579999999999999,3.0,9.06,4.0,48.98550724637681,8.033333333333333,337.5,353.1666666666667,1.0
Chegina_K40GL__6_2026,Chegina K40GL,6/2026,6780.0,17,7,T111,81.0,11.946902654867257,196.16519174041298,79.64601769911503,46.312684365781706,118.87905604719764,61.06194690265487,4.129793510324483,125.95870206489676,12.5,11.86,11.65,5.539999999999999,3.27,9.39,4.0,46.12094395280236,8.166666666666666,5.833333333333333,22.95,1.0
Chegina_K40GLO__18_2026,Chegina K40GLO,18/2026,7760.0,17,7,T115,51.0,6.572164948453608,,122.42268041237114,,126.03092783505156,64.43298969072166,5.154639175257732,122.42268041237114,20.0,11.55,11.99,4.3100000000000005,3.17,,3.0,40.670103092783506,7.166666666666667,2.7666666666666666,20.416666666666668,0.0
Chegina_K40GLOL__24_2026,Chegina K40GLOL,24/2026,12350.0,8,28,T118,211.0,17.08502024291498,17.408906882591094,113.36032388663968,,119.02834008097166,60.72874493927126,4.858299595141701,113.36032388663968,25.380710659898476,11.52,11.36,5.1,3.28,4.37,4.0,44.53441295546559,7.083333333333333,4.0,22.916666666666668,0.0
Chegina_K7__14_2026,Chegina K7,14/2026,13460.0,8,24,T122A,106.0,7.87518573551263,168.64784546805348,66.86478454680534,44.576523031203564,98.06835066864784,63.893016344725105,3.491827637444279,111.4413075780089,0.0,11.94,11.35,0.6500000000000004,4.28,9.47,3.0,21.471025260029716,9.916666666666666,4.833333333333333,26.466666666666665,0.0
Chegina_K7__17_2026,Chegina K7,17/2026,9490.0,17,7,T121,69.0,7.2708113804004215,163.32982086406744,68.4931506849315,42.14963119072708,95.04741833508956,61.95995785036881,3.3719704952581666,110.64278187565859,5.755395683453238,11.73,11.21,0.5199999999999996,4.27,,2.0,23.39304531085353,9.5,4.416666666666667,21.666666666666668,0.0
Chegina_K7__1_2026,Chegina K7,1/2026,8930.0,17,28,T121,69.0,7.726763717805151,173.57222844344906,72.78835386338186,44.79283314669653,101.00783874580067,65.8454647256439,3.5834266517357225,117.5811870100784,15.273775216138327,11.91,11.76,0.25,4.26,,3.0,14.781634938409855,9.166666666666666,3.8333333333333335,22.083333333333332,0.0
