batch_id,produkt,wielkosc_kg,ph_utlenienie,nd20_utlenienie,ph_koncowa,acid_kg,produkt_K40GL,acid_per_ton,delta_ph,buffer_cap
Chegina_K40GL/1_2026,Chegina K40GL,11310,11.39,1.3954,4.69,125,1,11.052166224580017,6.7,1.6495770484447785
Chegina_K40GL/4_2026,Chegina K40GL,11420,11.57,1.1403,5.04,125,1,10.945709281961472,6.53,1.6762188793202866
Chegina_K40GL/5_2026,Chegina K40GL,6900,11.99,1.4102,5.58,75,1,10.869565217391305,6.41,1.695720002713152
Chegina_K40GL/6_2026,Chegina K40GL,6780,11.9,1.4093,5.29,81,1,11.946902654867257,6.61,1.8073982836410374
Chegina_K7/14_2026,Chegina K7,13460,11.74,1.3967,5.93,106,0,7.87518573551263,5.8100000000000005,1.3554536549935678
Chegina_K7/17_2026,Chegina K7,9490,11.64,1.3963,6.2,69,0,7.2708113804004215,5.44,1.3365462096324303
Chegina_K7/1_2026,Chegina K7,8930,11.42,1.3948,5.29,69,0,7.726763717805151,6.13,1.2604834776191112
Chegina_K7/26_2026,Chegina K7,13300,11.58,1.3956,5.74,88,0,6.616541353383458,5.84,1.1329694098259346
Chegina_K7/2_2026,Chegina K7,13220,11.84,1.3948,6.3,100,0,7.5642965204236,5.54,1.3653964838309747
Chegina_K7/32_2026,Chegina K7,9120,11.86,1.3967,6.07,75,0,8.223684210526317,5.789999999999999,1.4203254249613675
Chegina_K7/38_2026,Chegina K7,13330,11.74,1.3961,5.51,106,0,7.95198799699925,6.23,1.276402567736637
Chegina_K7/49_2026,Chegina K7,7860,11.91,1.3971,6.5,63,0,8.015267175572518,5.41,1.4815650971483396
Chegina_K7/54_2026,Chegina K7,8250,11.84,1.3966,5.53,100,0,12.121212121212121,6.31,1.9209527925851224
Chegina_K7/62_2026,Chegina K7,7930,12.06,1.3968,6.46,88,0,11.097099621689786,5.6000000000000005,1.9816249324446045
Chegina_K7/64_2026,Chegina K7,13240,11.78,1.3962,6.37,100,0,7.552870090634441,5.409999999999999,1.3960942866237416
